unnamed: 0,product_id,rating,ProductName,Brand,price,image_url,Category,subcategory,perfil_texto
0,P000001,4.08,Onion (Loose),Fresho,69.75,https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg,Fruits & Vegetables,"Potato, Onion & Tomato","fresho fruits & vegetables potato, onion & tomato onion (loose)"
1,P000002,3.87,Onion,Fresho,174.35,https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg,Fruits & Vegetables,"Potato, Onion & Tomato","fresho fruits & vegetables potato, onion & tomato onion"
2,P000003,3.46,"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",Fresho,110.0,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",Farm Eggs,"fresho eggs, meat & fish farm eggs farm eggs - table tray, medium, antibiotic residue-free"
3,P000004,4.14,Potato (Loose),Fresho,50.32,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg,Fruits & Vegetables,"Potato, Onion & Tomato","fresho fruits & vegetables potato, onion & tomato potato (loose)"
4,P000005,3.97,Potato,Fresho,100.65,https://www.bigbasket.com/media/uploads/p/l/40162469_6-fresho-potato-new-crop.jpg,Fruits & Vegetables,"Potato, Onion & Tomato","fresho fruits & vegetables potato, onion & tomato potato"
5,P000006,3.2,Eggs - Regular,Fresho,250.0,https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg,"Eggs, Meat & Fish",Farm Eggs,"fresho eggs, meat & fish farm eggs eggs - regular"
6,P000007,2.61,"Farm Eggs - Regular, Medium, Antibiotic Residue-Free",Fresho,50.0,https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",Farm Eggs,"fresho eggs, meat & fish farm eggs farm eggs - regular, medium, antibiotic residue-free"
7,P000008,2.93,Atta/Godihittu - Whole Wheat,Aashirvaad,119.0,https://www.bigbasket.com/media/uploads/p/l/161826_8-aashirvaad-atta-whole-wheat.jpg,"Foodgrains, Oil & Masala",Atta Whole Wheat,"aashirvaad foodgrains, oil & masala atta whole wheat atta/godihittu - whole wheat"
8,P000009,4.44,"Disinfectant Toilet Cleaner Liquid, Original",Harpic,93.0,https://www.bigbasket.com/media/uploads/p/l/263754_13-harpic-power-plus-disinfectant-toilet-cleaner-liquid-original.jpg,Cleaning & Household,Toilet Cleaners,"harpic cleaning & household toilet cleaners disinfectant toilet cleaner liquid, original"
9,P000010,3.47,Disinfectant Toilet Cleaner Liquid - Original,Harpic,186.0,https://www.bigbasket.com/media/uploads/p/l/1200366_7-harpic-original-disinfectant-toilet-cleaner-liquid.jpg,Cleaning & Household,Toilet Cleaners,harpic cleaning & household toilet cleaners disinfectant toilet cleaner liquid - original
10,P000011,2.77,Tomato - Hybrid (Loose),Fresho,26.9,https://www.bigbasket.com/media/uploads/p/l/10000200_17-fresho-tomato-hybrid.jpg,Fruits & Vegetables,"Potato, Onion & Tomato","fresho fruits & vegetables potato, onion & tomato tomato - hybrid (loose)"
11,P000012,3.61,Tea,Red Label,40.0,https://www.bigbasket.com/media/uploads/p/l/266616_16-red-label-tea.jpg,Beverages,Leaf & Dust Tea,red label beverages leaf & dust tea tea
12,P000013,4.5,Paneer - Premium Fresh,Milky Mist,470.0,https://www.bigbasket.com/media/uploads/p/l/137575_4-milky-mist-paneer-premium-fresh.jpg,"Bakery, Cakes & Dairy","Paneer, Tofu & Cream","milky mist bakery, cakes & dairy paneer, tofu & cream paneer - premium fresh"
13,P000014,3.67,Tomato - Local (Loose),Fresho,25.97,https://www.bigbasket.com/media/uploads/p/l/10000203_16-fresho-tomato-local.jpg,Fruits & Vegetables,"Potato, Onion & Tomato","fresho fruits & vegetables potato, onion & tomato tomato - local (loose)"
14,P000015,3.5,Carrot - Orange (Loose),Fresho,50.65,https://www.bigbasket.com/media/uploads/p/l/10000072_16-fresho-carrot-orange.jpg,Fruits & Vegetables,Root Vegetables,fresho fruits & vegetables root vegetables carrot - orange (loose)
15,P000016,4.68,2-Minute Instant Noodles - Masala,MAGGI ,82.0,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods,Instant Noodles,maggi  snacks & branded foods instant noodles 2-minute instant noodles - masala
16,P000017,3.63,Masala Instant Noodles Vegetarian,MAGGI ,14.0,https://www.bigbasket.com/media/uploads/p/l/266160_19-maggi-masala-instant-noodles-vegetarian.jpg,Snacks & Branded Foods,Instant Noodles,maggi  snacks & branded foods instant noodles masala instant noodles vegetarian
17,P000018,3.06,"2-Minute Noodles Masala - Made With Quality Spices, Rich In Fibre",MAGGI ,168.0,https://www.bigbasket.com/media/uploads/p/l/40125873_4-maggi-2-minute-noodles-masala.jpg,Snacks & Branded Foods,Instant Noodles,"maggi  snacks & branded foods instant noodles 2-minute noodles masala - made with quality spices, rich in fibre"
18,P000019,3.04,"2-Minute Instant Masala Noodles - Made With Quality Spices, Source Of Iron",MAGGI ,55.0,https://www.bigbasket.com/media/uploads/p/l/266162_17-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods,Instant Noodles,"maggi  snacks & branded foods instant noodles 2-minute instant masala noodles - made with quality spices, source of iron"
19,P000020,2.75,Masala 2 Minute Instant Noodles,MAGGI ,28.0,https://www.bigbasket.com/media/uploads/p/l/266165_14-maggi-masala-2-minute-instant-noodles.jpg,Snacks & Branded Foods,Instant Noodles,maggi  snacks & branded foods instant noodles masala 2 minute instant noodles
20,P000021,2.9,"2-Minute Instant Masala Noodles - Made With Quality Spices, Goodness Of Iron",MAGGI ,109.0,https://www.bigbasket.com/media/uploads/p/l/266109_19-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods,Instant Noodles,"maggi  snacks & branded foods instant noodles 2-minute instant masala noodles - made with quality spices, goodness of iron"
21,P000022,4.54,Idly Dosa Batter,iD Fresho,158.0,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,Snacks & Branded Foods,Breakfast & Snack Mixes,id fresho snacks & branded foods breakfast & snack mixes idly dosa batter
22,P000023,3.09,Idly & Dosa Batter,iD Fresho,79.0,https://www.bigbasket.com/media/uploads/p/l/271205_14-id-fresho-idly-dosa-batter.jpg,Snacks & Branded Foods,Breakfast & Snack Mixes,id fresho snacks & branded foods breakfast & snack mixes idly & dosa batter
23,P000024,4.35,"Bathing Bar Soap - Germ Protection, Original",Dettol,600.0,https://www.bigbasket.com/media/uploads/p/l/1206304_6-dettol-bathing-bar-soap-germ-protection-original.jpg,Beauty & Hygiene,Bathing Bars & Soaps,"dettol beauty & hygiene bathing bars & soaps bathing bar soap - germ protection, original"
24,P000025,4.02,Bathing Bar Soap - Original,Dettol,240.0,https://www.bigbasket.com/media/uploads/p/l/1208387_5-dettol-bathing-bar-soap-original.jpg,Beauty & Hygiene,Bathing Bars & Soaps,dettol beauty & hygiene bathing bars & soaps bathing bar soap - original
25,P000026,2.85,"Original Bathing Bar Soap, Daily Protection from Germs",Dettol,75.0,https://www.bigbasket.com/media/uploads/p/l/100008548_25-dettol-original-bathing-soap-bar-with-76-tfm-protects-from-germs.jpg,Beauty & Hygiene,Bathing Bars & Soaps,"dettol beauty & hygiene bathing bars & soaps original bathing bar soap, daily protection from germs"
26,P000027,2.7,Bathing Soap - Original,Dettol,300.0,https://www.bigbasket.com/media/uploads/p/l/1200377_8-dettol-bathing-soap-original.jpg,Beauty & Hygiene,Bathing Bars & Soaps,dettol beauty & hygiene bathing bars & soaps bathing soap - original
27,P000028,2.56,"Colgate Strong Teeth, 150 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",Colgate,85.0,https://www.bigbasket.com/media/uploads/p/l/20005547_11-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,Toothpaste,"colgate beauty & hygiene toothpaste colgate strong teeth, 150 gm, india’s no: 1 toothpaste brand, calcium-boost for 2x stronger teeth, prevents cavities, whitens teeth,  freshens breath"
28,P000029,4.32,"Colgate Strong Teeth, 500 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",Colgate,244.0,https://www.bigbasket.com/media/uploads/p/l/40186855_5-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,Toothpaste,"colgate beauty & hygiene toothpaste colgate strong teeth, 500 gm, india’s no: 1 toothpaste brand, calcium-boost for 2x stronger teeth, prevents cavities, whitens teeth,  freshens breath"
29,P000030,3.93,"Toothpaste - Strong Teeth, Dental Cream, Anti Cavity",Colgate,346.0,https://www.bigbasket.com/media/uploads/p/l/1205003_5-colgate-toothpaste-strong-teeth-dental-cream-anti-cavity.jpg,Beauty & Hygiene,Toothpaste,"colgate beauty & hygiene toothpaste toothpaste - strong teeth, dental cream, anti cavity"
30,P000031,3.37,"Colgate Strong Teeth, 100 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",Colgate,63.0,https://www.bigbasket.com/media/uploads/p/l/100006161_16-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,Toothpaste,"colgate beauty & hygiene toothpaste colgate strong teeth, 100 gm, india’s no: 1 toothpaste brand, calcium-boost for 2x stronger teeth, prevents cavities, whitens teeth,  freshens breath"
31,P000032,3.75,"Colgate Strong Teeth, 300 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",Colgate,173.0,https://www.bigbasket.com/media/uploads/p/l/263925_17-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene,Toothpaste,"colgate beauty & hygiene toothpaste colgate strong teeth, 300 gm, india’s no: 1 toothpaste brand, calcium-boost for 2x stronger teeth, prevents cavities, whitens teeth,  freshens breath"
32,P000033,3.6,Strong Teeth Anticavity Toothpaste With Amino Shakti - Saver Pack,Colgate,488.0,https://www.bigbasket.com/media/uploads/p/l/1212657_3-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-saver-pack.jpg,Beauty & Hygiene,Toothpaste,colgate beauty & hygiene toothpaste strong teeth anticavity toothpaste with amino shakti - saver pack
33,P000034,3.87,"Rice/Akki - Raw, Sona Masoori",BB Royal,70.0,https://www.bigbasket.com/media/uploads/p/l/10000457_13-bb-royal-rice-raw-sona-masoori.jpg,"Foodgrains, Oil & Masala",Raw Rice,"bb royal foodgrains, oil & masala raw rice rice/akki - raw, sona masoori"
34,P000035,4.63,"Rice/Akki - Raw, Sona Masoori, 12-17 Months Old",BB Royal,700.0,https://www.bigbasket.com/media/uploads/p/l/10000404_18-bb-royal-rice-raw-sona-masoori-12-17-months-old.jpg,"Foodgrains, Oil & Masala",Raw Rice,"bb royal foodgrains, oil & masala raw rice rice/akki - raw, sona masoori, 12-17 months old"
