,order_item_id,order_id,product_id,user_id,quantity,item_price,total_price
0,I00000001,O00000001,P001758,U009310,5,1650.0,8250.0
1,I00000002,O00000001,P001119,U009310,7,1550.0,10850.0
2,I00000003,O00000001,P001794,U009310,6,1750.0,10500.0
3,I00000004,O00000001,P001038,U009310,5,4350.0,21750.0
4,I00000005,O00000002,P000859,U003247,3,1400.0,4200.0
5,I00000006,O00000002,P000803,U003247,7,1450.0,10150.0
6,I00000007,O00000002,P000324,U003247,6,5390.0,32340.0
7,I00000008,O00000002,P000454,U003247,3,2990.0,8970.0
8,I00000009,O00000003,P001344,U007252,4,4250.0,17000.0
9,I00000010,O00000003,P000919,U007252,4,18980.0,75920.0
10,I00000011,O00000003,P001030,U007252,5,8182.0,40910.0
11,I00000012,O00000004,P000684,U008986,5,6750.0,33750.0
12,I00000013,O00000004,P001139,U008986,7,2750.0,19250.0
13,I00000014,O00000004,P001247,U008986,3,5000.0,15000.0
14,I00000015,O00000005,P000637,U008537,5,2090.0,10450.0
15,I00000016,O00000005,P001684,U008537,5,2500.0,12500.0
16,I00000017,O00000005,P001599,U008537,7,4950.0,34650.0
17,I00000018,O00000006,P000054,U003449,6,1280.0,7680.0
18,I00000019,O00000006,P001002,U003449,6,1500.0,9000.0
19,I00000020,O00000006,P001857,U003449,7,23630.0,165410.0
20,I00000021,O00000006,P001940,U003449,7,3990.0,27930.0
21,I00000022,O00000007,P000004,U006985,6,5032.0,30192.0
22,I00000023,O00000007,P000792,U006985,7,24980.0,174860.0
23,I00000024,O00000008,P000497,U007661,7,900.0,6300.0
24,I00000025,O00000009,P001301,U000610,6,1000.0,6000.0
25,I00000026,O00000010,P000913,U003175,6,8052.0,48312.0
26,I00000027,O00000010,P001655,U003175,4,5000.0,20000.0
27,I00000028,O00000011,P000162,U004470,3,990.0,2970.0
28,I00000029,O00000011,P000006,U004470,4,2500.0,10000.0
29,I00000030,O00000011,P001724,U004470,5,2480.0,12400.0
30,I00000031,O00000012,P000083,U009480,6,12360.0,74160.0
31,I00000032,O00000012,P000022,U009480,7,1580.0,11060.0
32,I00000033,O00000012,P001184,U009480,5,4500.0,22500.0
33,I00000034,O00000012,P001636,U009480,7,1490.0,10430.0
34,I00000035,O00000013,P001563,U003631,4,2290.0,9160.0
35,I00000036,O00000014,P001712,U009493,4,7630.0,30520.0
36,I00000037,O00000015,P001687,U003336,4,2250.0,9000.0
37,I00000038,O00000015,P001005,U003336,5,1480.0,7400.0
38,I00000039,O00000015,P001891,U003336,5,950.0,4750.0
39,I00000040,O00000015,P000234,U003336,7,15000.0,105000.0
40,I00000041,O00000015,P000329,U003336,6,750.0,4500.0
41,I00000042,O00000016,P001897,U006392,7,2250.0,15750.0
42,I00000043,O00000017,P001808,U006684,3,3750.0,11250.0
43,I00000044,O00000017,P001370,U006684,7,800.0,5600.0
44,I00000045,O00000018,P001510,U000792,7,1800.0,12600.0
45,I00000046,O00000018,P001471,U000792,3,4500.0,13500.0
46,I00000047,O00000018,P000916,U000792,4,260.0,1040.0
47,I00000048,O00000018,P000406,U000792,5,1090.0,5450.0
48,I00000049,O00000019,P000614,U004785,3,190.0,570.0
49,I00000050,O00000020,P000282,U007957,5,1150.0,5750.0
50,I00000051,O00000020,P001099,U007957,4,1500.0,6000.0
51,I00000052,O00000020,P000247,U007957,5,2800.0,14000.0
52,I00000053,O00000020,P000514,U007957,4,4100.0,16400.0
53,I00000054,O00000021,P000164,U002529,4,3990.0,15960.0
54,I00000055,O00000021,P001540,U002529,3,990.0,2970.0
55,I00000056,O00000022,P001206,U004486,7,4500.0,31500.0
56,I00000057,O00000022,P000004,U004486,5,5032.0,25160.0
57,I00000058,O00000023,P001492,U007432,5,5410.0,27050.0
58,I00000059,O00000024,P000058,U003345,3,950.0,2850.0
59,I00000060,O00000024,P001098,U003345,6,2100.0,12600.0
60,I00000061,O00000025,P000952,U006241,6,8500.0,51000.0
61,I00000062,O00000025,P000494,U006241,4,6234.0,24936.0
62,I00000063,O00000025,P001686,U006241,7,3550.0,24850.0
63,I00000064,O00000025,P000654,U006241,5,250.0,1250.0
64,I00000065,O00000026,P001694,U000638,4,5270.0,21080.0
65,I00000066,O00000026,P000797,U000638,6,350.0,2100.0
66,I00000067,O00000027,P000251,U006102,5,1120.0,5600.0
67,I00000068,O00000027,P001990,U006102,4,750.0,3000.0
68,I00000069,O00000028,P001671,U007489,5,6990.0,34950.0
69,I00000070,O00000028,P000921,U007489,4,11230.0,44920.0
70,I00000071,O00000028,P001940,U007489,7,3990.0,27930.0
71,I00000072,O00000029,P001874,U006599,7,1300.0,9100.0
72,I00000073,O00000029,P000938,U006599,3,13130.0,39390.0
73,I00000074,O00000029,P000047,U006599,6,6655.0,39930.0
74,I00000075,O00000030,P000395,U002144,3,2940.0,8820.0
75,I00000076,O00000030,P001002,U002144,5,1500.0,7500.0
76,I00000077,O00000031,P000853,U007162,5,18090.0,90450.0
77,I00000078,O00000031,P000303,U007162,4,31429.0,125716.0
78,I00000079,O00000031,P000339,U007162,5,2980.0,14900.0
79,I00000080,O00000032,P000704,U007933,5,400.0,2000.0
80,I00000081,O00000033,P001756,U000286,4,7980.0,31920.0
81,I00000082,O00000033,P001488,U000286,7,2790.0,19530.0
82,I00000083,O00000034,P000786,U001759,5,2250.0,11250.0
83,I00000084,O00000034,P001913,U001759,6,14580.0,87480.0
84,I00000085,O00000034,P000540,U001759,4,400.0,1600.0
85,I00000086,O00000035,P001080,U007158,5,950.0,4750.0
86,I00000087,O00000035,P000691,U007158,3,750.0,2250.0
87,I00000088,O00000035,P001843,U007158,5,3950.0,19750.0
88,I00000089,O00000036,P000926,U009692,6,1550.0,9300.0
89,I00000090,O00000036,P000903,U009692,5,4990.0,24950.0
90,I00000091,O00000036,P000304,U009692,6,6600.0,39600.0
91,I00000092,O00000036,P001548,U009692,3,990.0,2970.0
92,I00000093,O00000036,P001134,U009692,3,1200.0,3600.0
93,I00000094,O00000037,P000347,U002635,4,2500.0,10000.0
94,I00000095,O00000038,P001071,U004419,6,1286.0,7716.0
95,I00000096,O00000038,P001868,U004419,4,1650.0,6600.0
96,I00000097,O00000038,P001916,U004419,5,4500.0,22500.0
97,I00000098,O00000038,P000331,U004419,4,1500.0,6000.0
98,I00000099,O00000038,P000873,U004419,7,600.0,4200.0
99,I00000100,O00000039,P000208,U005127,3,12990.0,38970.0
100,I00000101,O00000039,P001732,U005127,5,5980.0,29900.0
101,I00000102,O00000039,P000027,U005127,5,3000.0,15000.0
102,I00000103,O00000039,P001906,U005127,3,4250.0,12750.0
103,I00000104,O00000039,P001882,U005127,5,1700.0,8500.0
104,I00000105,O00000040,P001209,U002158,4,3990.0,15960.0
105,I00000106,O00000040,P000407,U002158,7,2500.0,17500.0
106,I00000107,O00000040,P001791,U002158,4,3780.0,15120.0
107,I00000108,O00000041,P000892,U000891,7,1850.0,12950.0
108,I00000109,O00000042,P001850,U007175,5,2600.0,13000.0
109,I00000110,O00000042,P000884,U007175,3,7500.0,22500.0
110,I00000111,O00000043,P001853,U005178,3,1250.0,3750.0
111,I00000112,O00000044,P001348,U008621,4,4300.0,17200.0
112,I00000113,O00000044,P000594,U008621,4,2590.0,10360.0
113,I00000114,O00000045,P000787,U003734,6,650.0,3900.0
114,I00000115,O00000046,P001784,U007376,3,3790.0,11370.0
115,I00000116,O00000046,P001899,U007376,4,18000.0,72000.0
116,I00000117,O00000047,P001821,U004124,7,3990.0,27930.0
117,I00000118,O00000048,P001173,U005265,7,5500.0,38500.0
118,I00000119,O00000048,P000991,U005265,3,3490.0,10470.0
119,I00000120,O00000049,P001203,U000067,5,2990.0,14950.0
120,I00000121,O00000049,P000314,U000067,4,1800.0,7200.0
121,I00000122,O00000049,P001157,U000067,5,6690.0,33450.0
122,I00000123,O00000050,P000412,U008607,6,1380.0,8280.0
123,I00000124,O00000051,P000560,U001487,6,3050.0,18300.0
124,I00000125,O00000051,P000587,U001487,6,1200.0,7200.0
125,I00000126,O00000052,P001556,U006522,7,2500.0,17500.0
126,I00000127,O00000052,P001139,U006522,7,2750.0,19250.0
127,I00000128,O00000052,P001486,U006522,5,5980.0,29900.0
128,I00000129,O00000052,P000648,U006522,6,1900.0,11400.0
129,I00000130,O00000052,P000253,U006522,4,26000.0,104000.0
130,I00000131,O00000052,P000164,U006522,6,3990.0,23940.0
131,I00000132,O00000053,P000079,U001555,5,2000.0,10000.0
132,I00000133,O00000053,P001503,U001555,3,1510.0,4530.0
133,I00000134,O00000054,P000476,U003166,5,2250.0,11250.0
134,I00000135,O00000055,P000041,U005524,4,6500.0,26000.0
