order_id,user_id,order_date,order_status,total_amount
O00000001,U009310,09/09/2025 14:52,processing,51350
O00000002,U003247,15/04/2025 01:18,completed,55660
O00000003,U007252,27/04/2025 15:37,processing,133830
O00000004,U008986,04/10/2025 20:35,cancelled,68000
O00000005,U008537,13/11/2024 08:15,cancelled,57600
O00000006,U003449,13/10/2024 09:02,completed,210020
O00000007,U006985,01/05/2024 04:44,returned,205052
O00000008,U007661,03/03/2024 23:33,completed,6300
O00000009,U000610,29/10/2025 07:00,cancelled,6000
O00000010,U003175,13/08/2024 07:04,returned,68312
O00000011,U004470,14/08/2025 09:59,shipped,25370
O00000012,U009480,27/08/2025 09:57,cancelled,118150
O00000013,U003631,03/01/2025 18:04,processing,9160
O00000014,U009493,15/06/2025 22:26,shipped,30520
O00000015,U003336,16/07/2024 18:07,returned,130650
O00000016,U006392,01/10/2025 07:52,processing,15750
O00000017,U006684,05/08/2024 20:28,processing,16850
O00000018,U000792,10/11/2024 21:40,cancelled,32590
O00000019,U004785,26/11/2024 15:18,returned,570
O00000020,U007957,13/07/2024 06:57,completed,42150
O00000021,U002529,30/07/2025 08:08,completed,18930
O00000022,U004486,28/08/2024 22:17,shipped,56660
O00000023,U007432,19/05/2024 11:26,returned,27050
O00000024,U003345,20/06/2025 17:10,completed,15450
O00000025,U006241,23/01/2024 02:00,shipped,102036
O00000026,U000638,24/06/2025 23:57,shipped,23180
O00000027,U006102,31/10/2025 11:20,returned,8600
O00000028,U007489,09/01/2024 07:28,processing,107800
O00000029,U006599,23/05/2025 18:15,shipped,88420
O00000030,U002144,07/02/2024 15:08,shipped,16320
O00000031,U007162,19/11/2024 07:31,cancelled,231066
O00000032,U007933,18/03/2024 17:21,returned,2000
O00000033,U000286,29/05/2024 17:27,processing,51450
O00000034,U001759,23/10/2025 14:39,completed,100330
O00000035,U007158,19/02/2024 10:35,processing,26750
O00000036,U009692,14/05/2024 21:27,cancelled,80420
O00000037,U002635,03/11/2025 23:18,completed,10000
O00000038,U004419,30/06/2025 05:15,shipped,47016
O00000039,U005127,09/11/2024 01:20,shipped,105120
O00000040,U002158,03/11/2025 21:23,returned,48580
O00000041,U000891,12/02/2024 19:23,processing,12950
O00000042,U007175,05/05/2025 12:29,shipped,35500
O00000043,U005178,05/06/2024 17:15,returned,3750
O00000044,U008621,06/11/2025 10:56,shipped,27560
O00000045,U003734,31/03/2024 19:14,shipped,3900
O00000046,U007376,09/02/2024 11:42,processing,83370
O00000047,U004124,13/04/2024 23:26,cancelled,27930
O00000048,U005265,29/10/2024 06:00,returned,48970
O00000049,U000067,06/06/2024 06:24,processing,55600
O00000050,U008607,21/09/2024 00:41,processing,8280
O00000051,U001487,24/03/2025 09:25,returned,25500
O00000052,U006522,13/09/2024 23:23,processing,205990
O00000053,U001555,18/06/2024 14:09,returned,14530
O00000054,U003166,14/04/2024 00:52,cancelled,11250
O00000055,U005524,07/10/2024 17:26,processing,26000
O00000056,U003377,13/01/2024 09:15,cancelled,52500
O00000057,U003939,08/04/2024 22:25,returned,4000
O00000058,U002279,16/09/2024 16:27,shipped,5970
O00000059,U004843,27/03/2024 22:03,processing,122450
O00000060,U004239,18/05/2025 12:26,processing,56280
O00000061,U003431,30/08/2025 23:24,processing,59840
O00000062,U009887,28/09/2024 22:07,shipped,20840
O00000063,U001271,24/02/2024 19:27,completed,47920
O00000064,U006235,07/09/2025 08:53,cancelled,17750
O00000065,U009764,10/08/2025 14:12,returned,162384
O00000066,U003806,24/02/2025 21:30,cancelled,185580
O00000067,U001740,06/04/2024 15:52,completed,38220
O00000068,U005875,10/02/2024 22:08,completed,7660
O00000069,U007490,22/03/2025 23:03,processing,148660
O00000070,U004383,28/08/2024 20:23,cancelled,97370
O00000071,U008449,26/05/2025 23:44,completed,49390
O00000072,U007276,13/03/2024 13:49,shipped,42300
O00000073,U000383,18/01/2025 01:09,returned,9950
O00000074,U001053,10/10/2024 10:10,shipped,33960
O00000075,U003631,14/04/2025 15:40,processing,107950
O00000076,U006851,15/08/2025 00:34,completed,256522
O00000077,U005127,31/12/2024 15:25,cancelled,24690
O00000078,U005863,31/03/2025 20:24,shipped,14000
O00000079,U008184,21/06/2025 13:36,shipped,65774
O00000080,U007964,12/05/2025 17:07,completed,59400
O00000081,U000280,19/04/2024 23:38,processing,6900
O00000082,U002630,17/07/2024 14:13,completed,25750
O00000083,U004873,10/10/2024 03:29,processing,16000
O00000084,U004193,29/05/2025 01:07,shipped,34200
O00000085,U009453,10/12/2024 13:32,processing,18000
O00000086,U004906,14/04/2025 17:21,processing,20300
O00000087,U002432,07/10/2025 21:05,cancelled,46800
O00000088,U001613,26/12/2024 04:21,cancelled,38220
O00000089,U004756,15/06/2025 16:01,returned,11850
O00000090,U003655,13/09/2025 09:02,cancelled,67930
O00000091,U006570,23/01/2024 19:27,completed,32900
O00000092,U001781,05/11/2025 21:48,cancelled,11000
O00000093,U002932,13/04/2024 04:02,completed,66610
O00000094,U008738,02/05/2025 01:53,cancelled,26180
O00000095,U002227,24/10/2025 13:48,processing,9900
O00000096,U002173,28/07/2024 13:12,shipped,117100
O00000097,U002710,29/11/2024 11:23,processing,38500
O00000098,U001491,06/10/2024 16:57,cancelled,93670
O00000099,U006836,03/06/2025 06:26,completed,50620
O00000100,U007744,27/01/2025 04:41,returned,38560
O00000101,U009367,02/08/2024 03:02,shipped,71750
O00000102,U000795,12/08/2024 10:45,processing,54960
O00000103,U008095,08/11/2024 16:45,cancelled,24600
O00000104,U007392,23/01/2025 05:17,processing,18000
O00000105,U008882,14/08/2024 17:59,shipped,22900
O00000106,U008953,12/11/2025 14:11,returned,12250
O00000107,U005095,11/09/2024 20:08,cancelled,13200
O00000108,U003853,31/07/2025 08:45,cancelled,10320
O00000109,U001398,22/03/2025 00:18,returned,23940
O00000110,U005833,21/08/2024 06:06,returned,107840
O00000111,U006403,09/01/2024 18:41,cancelled,5100
O00000112,U002203,16/12/2024 09:01,shipped,199740
O00000113,U001974,30/11/2024 03:52,cancelled,12600
O00000114,U002688,26/03/2025 17:33,completed,7650
O00000115,U007745,28/11/2024 12:07,cancelled,6550
O00000116,U000180,29/02/2024 05:18,processing,57550
O00000117,U001913,13/11/2024 00:43,returned,18100
O00000118,U007481,26/09/2024 09:42,processing,62590
O00000119,U009061,25/06/2025 12:56,shipped,20000
O00000120,U000716,23/10/2024 06:33,returned,11940
O00000121,U001240,25/05/2025 22:08,shipped,13150
O00000122,U005566,09/03/2024 20:18,processing,27840
O00000123,U005052,24/03/2025 22:46,completed,25740
O00000124,U006150,14/02/2024 08:42,completed,76360
O00000125,U005706,15/02/2024 06:08,cancelled,14100
O00000126,U002931,06/02/2025 00:47,processing,56350
O00000127,U007738,20/07/2024 12:02,cancelled,35360
O00000128,U000975,09/04/2024 03:14,shipped,7960
O00000129,U003622,30/06/2024 07:50,processing,108600
O00000130,U004647,02/03/2024 06:21,processing,11400
O00000131,U000130,24/01/2025 23:34,cancelled,2000
O00000132,U002510,07/08/2024 01:26,returned,1000
O00000133,U007445,07/09/2025 02:01,returned,2250
O00000134,U004675,04/09/2024 21:21,completed,65120
O00000135,U002302,29/06/2025 16:37,shipped,28250
O00000136,U001440,08/04/2025 05:33,cancelled,21570
O00000137,U001427,14/01/2024 15:42,processing,51920
O00000138,U006921,19/02/2024 08:03,cancelled,116700
O00000139,U002993,11/01/2025 11:27,cancelled,75310
O00000140,U008257,01/10/2024 22:36,cancelled,14250
O00000141,U009725,23/08/2025 20:54,processing,7960
O00000142,U006344,26/10/2024 11:57,cancelled,24520
O00000143,U000022,26/09/2024 05:12,completed,96752
O00000144,U006302,20/01/2024 03:08,shipped,9960
O00000145,U009282,23/01/2024 13:20,shipped,7500
O00000146,U004487,16/12/2024 10:45,processing,4550
O00000147,U002779,22/07/2024 18:51,shipped,54700
O00000148,U005318,04/10/2025 12:24,returned,17980
O00000149,U006981,06/06/2025 02:24,completed,53900
O00000150,U000668,06/10/2024 06:51,cancelled,5600
O00000151,U006960,27/01/2025 10:09,processing,23270
O00000152,U006228,26/02/2024 06:41,returned,231360
O00000153,U007261,12/11/2025 10:19,shipped,22080
O00000154,U007064,06/07/2025 18:48,returned,12600
O00000155,U000476,25/02/2025 08:23,completed,16120
O00000156,U004571,08/07/2024 17:17,returned,26330
O00000157,U007924,23/05/2025 08:51,returned,6750
O00000158,U004476,25/10/2025 14:07,shipped,75650
O00000159,U004306,29/04/2024 17:41,shipped,22800
O00000160,U006265,18/04/2024 06:28,shipped,11600
O00000161,U001885,14/01/2025 02:24,processing,55930
O00000162,U003794,16/10/2025 06:33,completed,53290
O00000163,U004111,05/03/2024 12:12,shipped,54839
O00000164,U006977,19/02/2025 00:05,returned,81360
O00000165,U004253,20/05/2025 10:23,cancelled,97410
O00000166,U003599,30/08/2024 07:55,completed,23300
O00000167,U008017,26/11/2024 03:59,cancelled,5600
O00000168,U005863,27/11/2024 13:40,returned,42150
O00000169,U001205,01/01/2025 16:06,cancelled,7200
O00000170,U003435,25/03/2025 16:57,returned,2400
