product_id,rating,ProductName,Brand,Price,Image_Url,Category,SubCategory
P000001,4.08,Onion (Loose),Fresho,69.75,https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg,Fruits & Vegetables,"Potato, Onion & Tomato"
P000002,3.87,Onion,Fresho,174.35,https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg,Fruits & Vegetables,"Potato, Onion & Tomato"
P000003,3.46,"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",Fresho,110,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",Farm Eggs
P000004,4.14,Potato (Loose),Fresho,50.32,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg,Fruits & Vegetables,"Potato, Onion & Tomato"
P000005,3.97,Potato,Fresho,100.65,https://www.bigbasket.com/media/uploads/p/l/40162469_6-fresho-potato-new-crop.jpg,Fruits & Vegetables,"Potato, Onion & Tomato"
P000006,3.2,Eggs - Regular,Fresho,250,https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg,"Eggs, Meat & Fish",Farm Eggs
P000007,2.61,"Farm Eggs - Regular, Medium, Antibiotic Residue-Free",Fresho,50,https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",Farm Eggs
P000008,2.93,Atta/Godihittu - Whole Wheat,Aashirvaad,119,https://www.bigbasket.com/media/uploads/p/l/161826_8-aashirvaad-atta-whole-wheat.jpg,"Foodgrains, Oil & Masala",Atta Whole Wheat
P000009,4.44,"Disinfectant Toilet Cleaner Liquid, Original",Harpic,93,https://www.bigbasket.com/media/uploads/p/l/263754_13-harpic-power-plus-disinfectant-toilet-cleaner-liquid-original.jpg,Cleaning & Household,Toilet Cleaners
P000010,3.47,Disinfectant Toilet Cleaner Liquid - Original,Harpic,186,https://www.bigbasket.com/media/uploads/p/l/1200366_7-harpic-original-disinfectant-toilet-cleaner-liquid.jpg,Cleaning & Household,Toilet Cleaners
P000011,2.77,Tomato - Hybrid (Loose),Fresho,26.9,https://www.bigbasket.com/media/uploads/p/l/10000200_17-fresho-tomato-hybrid.jpg,Fruits & Vegetables,"Potato, Onion & Tomato"
P000012,3.61,Tea,Red Label,40,https://www.bigbasket.com/media/uploads/p/l/266616_16-red-label-tea.jpg,Beverages,Leaf & Dust Tea
P000013,4.5,Paneer - Premium Fresh,Milky Mist,470,https://www.bigbasket.com/media/uploads/p/l/137575_4-milky-mist-paneer-premium-fresh.jpg,"Bakery, Cakes & Dairy","Paneer, Tofu & Cream"
P000014,3.67,Tomato - Local (Loose),Fresho,25.97,https://www.bigbasket.com/media/uploads/p/l/10000203_16-fresho-tomato-local.jpg,Fruits & Vegetables,"Potato, Onion & Tomato"
P000015,3.5,Carrot - Orange (Loose),Fresho,50.65,https://www.bigbasket.com/media/uploads/p/l/10000072_16-fresho-carrot-orange.jpg,Fruits & Vegetables,Root Vegetables
P000016,4.68,2-Minute Instant Noodles - Masala,MAGGI ,82,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods,Instant Noodles
P000017,3.63,Masala Instant Noodles Vegetarian,MAGGI ,14,https://www.bigbasket.com/media/uploads/p/l/266160_19-maggi-masala-instant-noodles-vegetarian.jpg,Snacks & Branded Foods,Instant Noodles
